year,auth,titl
2002,Tzanetakis,Musical genre classification of audio signals
2011,Kamde,A survey on web multimedia mining
2018,Donahue,Adversarial Audio Synthesis
2008,Dinuzzo,Client-server multi-task learning from distributed datasets
2010,Correa,<span class="nocase">Musical genres: beating to the rhythms of different drums</span>
2013,Nagavi,An extensive analysis of query by singing/humming system through query proportion
2013,Andén,Deep scattering spectrum
2014,Nagavi,Progressive filtering using multiresolution histograms for query by humming system
2013,Brzezinski-Spiczak,Music files search system
2014,Mitra,An efficient feature selection in classification of audio files
2017,Wang,Classical music clustering based on acoustic features
2017,Stoller,Adversarial semi-supervised audio source separation applied to singing voice extraction
2018,Dehkordi,Music genre classification using spectral analysis and sparse representation of the signals
2006,Schwarz,Real-time corpus-based concatenative synthesis with catart
2006,Schwarz,Concatenative sound synthesis: The early years
2007,Thiebaut,How musical are images? From sound representation to image sonification: An eco systemic approach
2012,Connes,The music of shapes
2018,Peron,<span class="nocase">Pattern Recognition Approach to Violin Shapes of MIMO database</span>
2011,Yolk,UNFOLDING the potential of computational musicology
2008,Bloch,Introducing video features and spectral descriptors in the omax improvisation system
1999,Assayag,Guessing the composer’s mind: Applying universal prediction to musical style
2016,Mehri,SampleRNN: An unconditional end-to-end neural audio generation model
2018,Delbouys,Music mood detection based on audio and lyrics with deep neural net
2018,Bresson,<span class="nocase">From Motion to Musical Gesture: Experiments with Machine Learning in Computer-Aided Composition</span>
1997,Selfridge-Field,Beyond midi: The handbook of musical codes
1987,Cope,Experiments in music intelligence (EMI)
1976,Truax,A comunicational approach to computer sound programs
1980,Truax,The inverse relation between generality and strength in computer music programs
1999,Laske,Otto laske : Navigating new musical horizons
2016,Serizel,<span class="nocase">Machine listening techniques as a complement to video image analysis in forensics</span>
1986,Emmerson,The language of electroacoustic music
1973,Truax,The computer composition: Sound synthesis programs pod4, pod5 and pod6
2001,Rowe,Machine musicianship
1992,Rowe,Interactive music systems: Machine listening and composing
2005,Ariza,An open design for computer-aided algorithmic music composition: AthenaCL
1977,Buxton,A composer’s introduction to computer music
1968,Barthes,Elements of semiology
2019,Oviedo,Memoria, olvido y narración: Funes como antítesis del escritor
2000,Cascone,The aesthetics of failure: ’Post-digital’ tendencies in contemporary computer music
1980,Roads,Interview with max mathews
1963,Mathews,The digital computer as a musical instrument
1993,Rowe,Editor’s notes: Putting max in perspective
1999,Lewis,Interacting with latter-day musical automata
2005,Ariza,The xenakis sieve as object: A new model and a complete implementation
1964,N. Shepard,Circularity in judgments of relative pitch
1962,Shanks,Calculation of pi to 100,000 decimals
2019,Esposito,Gravitational mass carried by sound waves
2009,Attali,Noise: The political economy of music
2008,Szendy,Listen: A history of our ears
1987,Cope,An expert system for computer-assisted composition
2005,Solomos,An introduction to horacio vaggione musical-theoretical thought
2007,Puckette,On timbre stamps and other frequency-domain filters
2001,Vaggione,Some ontological remarks about music composition processes
1999,IV,A brief history of algorithmic composition
2013,Eck,Between air and electricity: Microphones and loudspeakers as musical instruments
2013,Morton,Hyperobjects: Philosophy and ecology after the end of the world
2013,Ernst,Digital memory and the archive
1982,Derrida,Margins of philosophy
1984,Rodet,FORMES: Composition and scheduling of processes
2019,Morin,Open data structures
1973,Bachman,The programmer as navigator
1970,Codd,A relational model of data for large shared data banks
1972,Codd,Relational completeness of data base sublanguages
2000,Long,IMS primer
1997,Buneman,Semistructured data
1996,Abiteboul,Querying semi-structured data
1995,Ramakrishnan,A survey of research in deductive database systems
1991,Bekke,Semantic data modeling in relational environments
2008,Angles,Survey of graph database models
1995,Abiteboul,Foundations of databases
2004,Pauletto,A toolkit for interactive sonification.
2002,Ben-Tal,Sonart: The sonification application research toolbox
2010,Brent,Physical and perceptual aspects of percussive timbre
2000,Ballora,Data analysis through auditory display: Applications in heart rate variability
2004,Amatriain,An object-oriented metamodel for digital signal processing with a focus on audio and music
2002,Puckette,Max at seventeen
2000,Schwarz,A system for data-driven concatenative sound synthesis
1998,Crowley,Data structures for text sequences
1989,Caraty,"Vowel recognition in a data base of continuous speech: Experiments with local and global identification principles"
1975,Erickson,"The darms project": A status report
2016,Buxton,Socializing technology for the mobile human. Keynote, the next web conference, amsterdam/europe.
2016,Buxton,Objed: The sssp sound editing tool
1989,Skinner,Music software
1989,Skinner,Music software
1990,Skinner,Music software
1990,Skinner,Music software
1991,Skinner,Music software
1991,Skinner,Music software
1992,Skinner,Music software
1992,Skinner,Music software
1978,Kernighan,The c programming language
1985,Diener,Formal languages in music theory
2015,Frisson,Designing interaction for browsing media collections (by similarity)
1989,Diener,TTrees: A tool for the compositional environment
1972,Smith,SCORE: A musician’s approach to computer music
1997,Selfridge-Field,The score music publishing system
1982,Brinkman,Original version of the score11 manual
2015,McCurdy,Methods of writing csound scores
2018,Cámara Halac,This is for young ears: A response to Elsa Justel’s Marelle...
2017,Simonelli,Hearing the self: A spectral experience
2018,Cámara Halac,A spectral experience: Self convolution and face tracking
1994,Smith,Connections between feedbackdelay networks and waveguide networks for digital reverberation
1994,Rochesso,Circulant feedback delay networks for sound synthesis and processing
2003,Burns,Emergent behavior from idiosyncratic feedback networks
2012,Valle,TOWARDS a typology of feedback systems
2012,Sanfilippo,HETEROGENEOUSLY-coupled feedback systems: THE bar dot project
2015,Surges,Generative feedback networks using time-varying allpass filters
2015,Anderson,Flatter frequency response from feedback delay network reverbs
2015,Erbe,Building the erbe-verb: Extending the feedback delay network reverb for modular synthesizer use
2001,Cambouropoulos,The local boundary detection model (LBDM) and its application in the study of expressive timing
1978,Buxton,The use of hierarchy and instance in a data structure for computer music
1978,Buxton,An overview of the structured sound synthesis project
1980,Buxton,"OBJED" and the design of timbral resources
1980,Clements,Musical data structures in a multi-use environment
1980,Brinkman,A binomial representation of the pitch parameter for computer processing of musical data
1980,Charnass,Towards a data base in musicology: The computer processing of the bridgman file
1981,Puckette,A real-time music 11 emulator
1981,Brinkman,Data structures for a music-11 preprocessor
1981,Beauchamp,Data reduction and resynthesis of connected solo passages using frequency, amplitude, and brightness detection and the nonlinear synthesis technique
1983,Brinkman,A design for a single pass scanner for the darms music coding language
1984,Brinkman,A data structure for computer analysis of musical scores
1985,Wilson,Data reduction of musical signals
1985,Ames,Applications of linked data structures to automated composition
1986,Boynton,Adding a graphical user interface to FORMES
1986,Puckette,Interprocess communication and timing in real-time computer music performance
1986,Free,What ever happened to sssp?
1987,Dydo,Data structures in the note processor
1987,Free,Towards an extensible data structure for the representation of music on computers
1987,Scaletti,Kyma: An object-oriented language for music composition
1988,Rodet,Diphone sound synthesis based on spectral envelopes and harmonic/noise excitation functions
1988,Puckette,The patcher
1988,Free,The CAMP music configuration database
1988,Diener,TTrees: An active data structure for computer music
1988,Chaigne,SONATE: An analysis/synthesis system of musical sounds based on perceptual data
1990,Lindemann,ANIMAL-A rapid prototyping environment for computer music systems
1990,Feiten,Sound data base using spectral analysis reduction and an additive sythesis model
1991,Maglione,A platform for real-time perceptually-based audio data reduction
1991,Kramer,Audification: The use of sound to display multivariate data
1991,Crandell,Parallel transform method for lossless compression on analog data
1991,Tanguiane,The criterion of data complexity in rhythm recognition
1991,Bauman,The international digital electroacoustic music archive
1992,Diener,A visual programming environment for music notation
1993,Depalle,Generalized diphone control
1994,Fober,Real-time midi data flow on ethernet and the software architecture of midishare
1994,Bargar,Model based interactive sound for an immersive virtual environment
1995,Choi,On perfoming a listener: What is missing, paganini?
1995,Choi,A manifold interface for a high dimensional control space
1996,Rodet,Macintosh graphical interface and improvements to generalized diphone control and synthesis
1996,Kunze,SEE - a structured event editor: Visualizing compositional data in common music
1996,Rossiter,A system for the musical investigation and expression of levels of self-similarity in an arbitrary data stream
1996,Levine,Effects processing on audio subband data
1996,McCartney,SuperCollider, a new real time synthesis language
1997,Rodet,The diphone program: New features, new synthesis methods and experience of musical use
1997,Hamman,Composition of data and process models: A paralogical approach to human/computer interaction
1997,Garton,RTcmix - using CMIX in real time
1997,Assayag,An object oriented visual environment for musical composition
1997,Puckette,Pure data
1998,Schöner,Data-driven modeling and synthesis of acoustical instruments
1998,McCartney,Continued evolution of the supercollider real time synthesis environment
1998,Zicarelli,An extensible real-time signal processing environment for max
1999,Garcia,Data compression of sinusoidal modeling parameters based on psychoacoustic masking
1999,Kreger,Creating three-dimensional computer animations using spectral data and opengl
1999,Melucci,The use of melodic segmentation for content-based retrieval of musical data
1999,de,Sonification of social data
1999,Katayose,Applying straight toward music systems - accurate f0 estimation and application for data-driven synthesis
1999,Winsberg,Applications of principal differential analysis, to data reduction and extraction of musical features of sound
2000,Bargar,Coney island: Combining jMax, spat and VSS for acoustic integration of spatial and temporal models in a virtual reality installation
2000,McCartney,A new, flexible framework for audio and image synthesis
2000,Schöner,Cluster-weighted sampling for synthesis and cross-synthesis of violin family instruments
2000,Barrett,A compositional methodology based on data extracted from natural phenomena
2000,Choi,Embedding a sensory data retrieval system in a movement-sensitive space and a surround sound system
2001,Mazzoni,A fast data structure for disk-based audio editing
2001,Serafin,Data driven identification and computer animation of bowed string model
2001,Purwins,Constant q profiles for tracking modulations in audio data format
2001,Schloss,Towards a virtual membrane: New algorithms and technology for analyzing gestural data
2002,Puckette,Using pd as a score language
2002,Osaka,The sound synthesis system "otkinshi": Its data structure and graphical user interface
2002,Vinet,The CUIDADO project: New applications based on audio and music content description
2002,Sturm,Water music: Sonification of ocean buoy spectral data
2003,Malham,Cutting the cord - in-circuit programmable microprocessors and rf data links free the performer from cables.
2003,Sarlo,GrIPD: A graphical interface editing tool and run-time environment for pure data
2003,Ariza,Ornament as data structure: An algorithmic model based on micro-rhythms of csng laments and funeral music
2003,Kobayashi,Sound clustering synthesis using spectral data
2003,Schwarz,New developments in data-driven concatenative sound synthesis
2003,Lindsay,Paradiddle: A code-free meta-gui for musical performance with pure data
2004,Bresson,SDIF sound description data representation and manipulation in computer assisted composition
2004,Henry,Pmpd : Physical modelling for pure data
2004,Allison,Teabox: A sensor data interface system
2004,Ciardi,Real time sonification of stock market data with sMax
2004,Yeo,SonART: A framework for data sonification, visualization and networked multimedia applications
2004,Alonso,An internet browser plug-in for real-time sound synthesis using pure data
2005,Xu,Semi-supervised classification of musical genre using multi-view features
2005,Yeo,Application of image sonification methods to music
2005,Vinet,The semantic hifi project
2005,Goudard,DATA anticipation for gesture recognition in the air percussion
2005,Schnell,FTM complex data structures for max
2006,Bokesoy,An approach to visualization of complex event data for generating sonic structures
2006,Satar-Boroujeni,Data association techniques for a robust partial tracker of music signals
2006,Hamilton,Bioinformatic response data as a compositional driver
2007,Jones,A hand drumming dataset for physical modeling
2007,Casey,Soundspotter / remix-tv: Fast approximate matching for audio and video performance
2007,Jensenius,PANEL: THE need of formats for streaming and storing music-related movement and gesture data
2007,Norman,DATA jockey, a tool for meta-data enhanced digital djing and active listening
2007,Kelly,META-sequencing: CONTROLLING sequence voices and polyphony using the polymap, sieve, valve and maskxor objects in pure data
2008,Sturm,Analysis, visualization, and transformation of audio signals using dictionary-based methods
2008,Hoffman,DATA-driven recomposition using the hierarchical dirichlet process hidden markov model
2008,ffitch,MAINTAINING and using provenance data in computer music
2008,Jordanous,VOICE separation in polyphonic music: A data-driven approach
2009,Schmeder,Efficient gesture storage and retrieval for multiple applications using a relational data model of open sound control
2009,Bullock,An object oriented model for the representation of temporal data in the integra framework
2009,Maestre,Data-driven stastical modeling of violin bowing gesture parameter contours
2010,Park,Composition with path : Musical sonification of geo-referenced data with online map interface
2010,Sanden,Perception based multi-genre labeling on music data
2010,Brent,A timbre analysis and classification toolkit for pure data
2010,Puckette,Pure data barcamp
2010,Ballora,Sonification of web log data
2010,Essl,Ursound – live patching of audio and multimedia using a multi-rate normed single-stream data-flow engine
2010,Bresson,Processing sound and music description data using openmusic
2011,Collins,Sound cross-synthesis and morphing using dictionary-based methods
2011,Grierson,Maximillian: An easy to use, cross platform C++ toolkit for interactive audio and synthesis applications
2011,Bresson,Representation and interchange of sound spatialization data for compositional applications
2011,Ness,Gesture analysis of radiodrum data
2012,Bianchi,MEASURING the performance of realtime dsp using pure data and gpu
2012,Hochenbaum,NUANCE: A software tool for capturing synchronous data streams from multimodal musical systems
2012,Vogt,SOUNDS of simulations: DATA listening space
2014,Whalley,Broadening telematic electroacoustic music by affective rendering and embodied real-time data sonification
2014,Nichols,Sound of rivers: Stone drum: A multimedia collaboration, with sonified data, computer-processed narration, and electric violin
2014,Naveda,Topos toolkit for pure data: Exploring the spatial features of dance gestures for interactive musical applications
2014,Bowen,Mobile phones as ubiquitous instruments: Towards standardizing performance data on the network
2014,Carvalho Junior,Sensors2PD: Mobile sensors and wifi information as input for pure data
2014,Schlei,TC-data: Extending multi-touch interfaces for generalized relational control
2014,Bruel,A protocol for creating multiagent systems in ensemble with pure data
2014,Misawa,Data auditorio: Towards intense interaction, an interactive hyper-directional sound for play and ubiquity
2015,Cádiz,Sonification of medical images based on statistical descriptors
2015,Nardelli,Materialssoundmusic: A computer-aided data-driven composition environment for the sonification and dramatization of scientific data streams
2016,Morawitz,Molecular sonification of nuclear magnetic resonance data as a novel tool for sound creation
2016,Schlei,The things of shapes: Waveform generation using 3D vertex data
2016,Ritter,Extending the piano through spatial transformation of motion capture data
2016,Warren,Composing and performing digital voice using microphone-centric gesture and control data
2017,Lindborg,Pacific bell tower, a sculptural sound installation for live sonification of earthquake data
2017,Fox,MadBPM: A modular multimodal environment for data-Driven composition and sonification
2017,,Hearing the self: Proceedings of the 43rd international computer music conference, ICMC 2017, shanghai, china, october 10 - october 17, 2017
2016,,Proceedings of the 42nd international computer music conference, ICMC 2016, utrecht, netherlands, september 25 - october 1, 2016
2015,,Looking back, looking forward: Proceedings of the 41st international computer music conference, ICMC 2015, denton, tx, usa, september 25 - october 1, 2015
2014,,Music technology meets philosophy - from digital echos to virtual ethos: Joint proceedings of the 40th international computer music conference, ICMC 2014, and the 11th sound and music computing conference, SMC 2014, athens, greece, september 14-20, 2014
2013,,Proceedings of the 39th international computer music conference, ICMC 2013, perth, australia, august 12-16, 2013
2012,,Non-cochlear sound: Proceedings of the 38th international computer music conference, ICMC 2012, ljubljana, slovenia, september 9-14, 2012
2011,,Proceedings of the 2011 international computer music conference, ICMC 2011, huddersfield, uk, july 31 - august 5, 2011
2010,,Proceedings of the 2010 international computer music conference, ICMC 2010, new york, usa, 2010
2009,,Proceedings of the 2009 international computer music conference, ICMC 2009, montreal, quebec, canada, august 16-21, 2009
2008,,Proceedings of the 2008 international computer music conference, ICMC 2008, belfast, ireland, august 24-29, 2008
2007,,Proceedings of the 2007 international computer music conference, ICMC 2007, copenhagen, denmark, august 27-31, 2007
2006,,Proceedings of the 2006 international computer music conference, ICMC 2006, new orleans, louisiana, usa, november 6-11, 2006
2005,,Proceedings of the 2005 international computer music conference, ICMC 2005, barcelona, spain, september 4-10, 2005
2004,,Proceedings of the 2004 international computer music conference, ICMC 2004, miami, florida, usa, november 1-6, 2004
2003,,Proceedings of the 2003 international computer music conference, ICMC 2003, singapore, september 29 - october 4, 2003
2002,,Proceedings of the 2002 international computer music conference, ICMC 2002, gothenburg, sweden, september 16-21, 2002
2001,,Proceedings of the 2001 international computer music conference, ICMC 2001, havana, cuba, september 17-22, 2001
2000,,Proceedings of the 2000 international computer music conference, ICMC 2000, berlin, germany, august 27 - september 1, 2000
1999,,Proceedings of the 1999 international computer music conference, ICMC 1999, beijing, china, october 22-27, 1999
1998,,Proceedings of the 1998 international computer music conference, ICMC 1998, ann arbor, michigan, usa, october 1-6, 1998
1997,,Proceedings of the 1997 international computer music conference, ICMC 1997, thessaloniki, greece, september 25-30, 1997
1996,,Proceedings of the 1996 international computer music conference, ICMC 1996, hong kong, august 19-24, 1996
1995,,Proceedings of the 1995 international computer music conference, ICMC 1995, banff, ab, canada, september 3-7, 1995
1994,,Proceedings of the 1994 international computer music conference, ICMC 1994, aarhus, denmark, september 12-17, 1994
1993,,Opening a new horizon: Proceedings of the 1993 international computer music conference, ICMC 1993, tokio, japan, september 10-15, 1993
1992,,Proceedings of the 1992 international computer music conference, ICMC 1992, san jose, california, usa, october 14-18, 1992
1991,,Proceedings of the 1991 international computer music conference, ICMC 1991, montreal, quebec, canada, october 16-20, 1991
1990,,Proceedings of the 1990 international computer music conference, ICMC 1990, glasgow, scotland, september 10-15, 1990
1989,,Proceedings of the 1989 international computer music conference, ICMC 1989, columbus, ohio, usa, november 2-5, 1989
1988,,Proceedings of the 1988 international computer music conference, ICMC 1988, cologne, germany, september 20-25, 1988
1987,,Proceedings of the 1987 international computer music conference, ICMC 1987, champaign/urbana, illinois, usa, august 23-26, 1987
1986,,Proceedings of the 1986 international computer music conference, ICMC 1986, den haag, the netherlands, october 20-24, 1986
1985,,Proceedings of the 1985 international computer music conference, ICMC 1985, burnaby, bc, canada, august 19-22, 1985
1984,,Proceedings of the 1984 international computer music conference, ICMC 1984, paris, france, october 19-23, 1984
1983,,Proceedings of the 1983 international computer music conference, ICMC 1983, rochester, new york, usa, october 7-10, 1983
1982,,Proceedings of the 1982 international computer music conference, ICMC 1982, venice, italy, september 27 - october 1, 1982
1981,,Proceedings of the 1981 international computer music conference, ICMC 1981, denton, texas, usa, 1981
1980,,Proceedings of the 1980 international computer music conference, ICMC 1980, new york city, usa, 1980
1978,,Proceedings of the 1978 international computer music conference, ICMC 1978, evanston, illinois, usa, 1978
2013,Bogdanov,Essentia: An audio analysis library for music information retrieval
2005,Sapp,Online database of scores in the humdrum file format
2018,Meseguer-Brocal,DALI: A large dataset of synchronized audio, lyrics and notes, automatically created using teacher-student machine learning paradigm.
2018,Wilkins,VocalSet: A singing voice dataset
2018,Humphrey,OpenMIC-2018: An open data-set for multiple instrument recognition
2018,Donahue,The NES music database: A multi-instrumental dataset with expressive performance attributes
2018,Eremenko,Audio-aligned jazz harmony dataset for automatic chord transcription and corpus-based research
2018,Xi,GuitarSet: A dataset for guitar transcription
2018,Gómez,Proceedings of the 19th international society for music information retrieval conference, ISMIR 2018, paris, france, september 23-27, 2018
2017,Parada-Cabaleiro,The SEILS dataset: Symbolically encoded scores in modern-early notation for computational musicology
2017,Vigliensoni,The music listening histories dataset
2017,Crestel,A database linking piano and orchestral MIDI scores with application to automatic projective orchestration
2014,Bittner,MedleyDB: A multitrack dataset for annotation-intensive MIR research
2014,Hamanaka,Musical structural analysis database based on GTTM
2014,Antila,The VIS framework: Analyzing counterpoint in large datasets
2014,Kirlin,A data set for computational studies of schenkerian analysis
2014,Pesek,Introducing a dataset of emotional and color responses to music
2014,Wang,Proceedings of the 15th international society for music information retrieval conference, ISMIR 2014, taipei, taiwan, october 27-31, 2014
2017,Fonseca,Freesound datasets: A platform for the creation of open audio datasets
2017,Defferrard,FMA: A dataset for music analysis
2017,Cunningham,Proceedings of the 18th international society for music information retrieval conference, ISMIR 2017, suzhou, china, october 23-27, 2017
2012,Proutskova,Breathy or resonant - A controlled and curated dataset for phonation mode detection in singing
2012,Karaosmanoglu,A turkish makam music symbolic database for music information retrieval: SymbTr
2012,Gouyon,Proceedings of the 13th international society for music information retrieval conference, ISMIR 2012, mosteiro s.bento da vitória, porto, portugal, october 8-12, 2012
2011,Smith,Design and creation of a large-scale database of structural annotations
2011,Bertin-Mahieux,The million song dataset
2011,Klapuri,Proceedings of the 12th international society for music information retrieval conference, ISMIR 2011, miami, florida, usa, october 24-28, 2011
2013,Hauger,The million musical tweet dataset - what we can learn from microblogs
2013,Souza Britto Jr.,Proceedings of the 14th international society for music information retrieval conference, ISMIR 2013, curitiba, brazil, november 4-8, 2013
2015,Knees,Two data sets for tempo estimation and key detection in electronic dance music annotated from user corrections
2015,Devaney,Theme and variation encodings with roman numerals (TAVERN): A new data set for symbolic music analysis
2015,Müller,Proceedings of the 16th international society for music information retrieval conference, ISMIR 2015, málaga, spain, october 26-30, 2015
2008,Hashida,A new music database describing deviation information of performance expressions
2008,Jr.,The latin music database
2008,Maxwell,A music database and query system for recombinant composition
2008,Bello,ISMIR 2008, 9th international conference on music information retrieval, drexel university, philadelphia, pa, usa, september 14-18, 2008
2007,Yeh,Synthesized polyphonic music database with verifiable ground truth for multiple F0 estimation
2007,Dixon,Proceedings of the 8th international conference on music information retrieval, ISMIR 2007, vienna, austria, september 23-27, 2007
2006,Casey,Song intersection by approximate nearest neighbor search
2005,Homburg,A benchmark dataset for audio classification and clustering
2005,,ISMIR 2005, 6th international conference on music information retrieval, london, uk, 11-15 september 2005, proceedings
2004,Wüst,An MPEG-7 database system and application for content-based management and retrieval of music
2004,,ISMIR 2004, 5th international conference on music information retrieval, barcelona, spain, october 10-14, 2004, proceedings
2003,Goto,RWC music database: Music genre database and musical instrument sound database
2003,,ISMIR 2003, 4th international conference on music information retrieval, baltimore, maryland, usa, october 27-30, 2003, proceedings
2002,Vinet,The CUIDADO project
2002,Goto,RWC music database: Popular, classical and jazz music databases
2002,,ISMIR 2002, 3rd international conference on music information retrieval, paris, france, october 13-17, 2002, proceedings
2000,Dunn,Beyond VARIATIONS: creating a digital music library
2000,Good,Representing music using XML
2000,,ISMIR 2000, 1st international symposium on music information retrieval, plymouth, massachusetts, usa, october 23-25, 2000, proceedings
2006,,ISMIR 2006, 7th international conference on music information retrieval, victoria, canada, 8-12 october 2006, proceedings
1944,Adorno,Dialectic of enlightenment
2011,Agamben,Nymphs
2012,Alberro,Periodising contemporary art
1981,Bakhtin,The dialogic imagination
2012,Barrass,The aesthetic turn in sonification towards a social and cultural medium
2011,Barrass,Sonification design and aesthetics
2004,Ben-Tal,Creative aspecs of sonification
1968,Benjamin,Theses on the philosophy of history
2012,Bishop,Antagonism and relational aesthetics
2004,Bohn,The music of american composer lejaren hiller and an examination of his early works involving technology
1942,Borges,Funes el memorioso
1995,Born,Rationalizing culture
1988,Butler,Performative acts and gender constitution: An essay in phenomenology and feminist theory
2004,Cascone,The aesthetics of failure: ’Post-digital’ tendencies in contemporary computer music
1994,Chion,Audio-vision
2011,Daniel,Collaborative systems: Redefining public art
2007,Daniel,The database: An aesthetics of dignity
1995,Derrida,Archive fever: A freudian impression
1978,Derrida,Writing and difference
2013,Dietz,Learning from eno
2008,Dietz,Steina 1970-2000
2012,Dyson,Turing’s cathedral: The origins of the digital universe
2004,Eco,The poetics of the open work
2012,Fisher,The syncretic turn: Cross-cultural practices in the age of multiculturalism
2011,Geimer,Self-generated images
2010,Graham,Rethinking curating - art after new media
2015,Gratton,The nancy dictionary
2015,Grusin,Introduction
2011,Hansen,From fixed to fluid: Material-mental images between neural synchronization and computational mediation
2006,Hansen,Bodies in code: Interfaces with digital media
1993,Hayles,The materiality of informatics
1984,Higgins,Horizons, the poetics and theory of the intermedia
1959,Hiller,Experimental music: Composition with an electronic computer
1984,Jameson,Foreword
2007,Klein,Waiting for the world to explode: How data convert into a novel
2012,Kocur,Introduction to part i
2016,Kyong Chun,Introduction: Did somebody say new media?
1997,Landow,Hypertext 2.0
1990,Latour,On actor-network theory. A few clarifications plus more than a few complications
1993,Latour,We have never been modern
2000,Lewis,Too many notes: Computers, complexity, and culture in voyager
2011,Lovejoy,Defining conditions for digital arts: Social function, authorship, and audience
2004,Lovejoy,Digital currents: Art in the electronic age
2013,Manning,Electronic and computer music
2007,Manovich,Database as symbolic form
2011,Manovich,Image future
2002,Manovich,Old media as new media: Cinema
2015,Manovich,There is only software
2001,Manovich,The language of new media
2000,Mathews,The csound book: Perspectives in software synthesis, sound design, signal processing, and programming
1964,McLuhan,Understanding media: The extensions of man
2006,Melaney,Arendts revision of praxis: On plurality and narrative experience.
2011,Mitchel,Introduction: Release(Non-)orignationconcepts
2017,Morton,Humankind
2011,Murray,Imaging sound in new media art: Asia acoustics, distributed
1991,Nancy,The inoperative community
2002,Nancy,Hegel, the restlessness of the negative
2007,Nancy,Listening
2003,Neidich,Blow-up: Photography, cinema and the brain
2012,Oliver La Rosa,Cdigo abierto \| obra abierta. El efecto de las prcticas de intercambio de cdigo en la composicin de msica.
2017,Passmann,Unknowing algorithms. On transparency of unopenable black boxes
2007,Paul,The database as system and cultural form: Anatomies of cultural narratives
2008,Paul,Digital art
2016,Polli,Sonifications of global environmental data
2001,Roads,Microsound
2015,Roads,Composing electronic music: A new aesthetic
2011,Sack,Aesthetics of information visualization
2017,Schfer,New brave world
2007,Seaman,Recombinant poetics and related database aesthetics
2002,Simons,Old media as new media: Television
2002,Smith,Nancy’s hegel, the state, and us
2011,Stiles,Missing in action: Agency and meaning in interactive art
2004,Toop,The generation game: Experimental music and digital culture
1936,Turing,On computable numbers, with an application to the entscheidungsproblem
1993,Vaggione,Determinism and the false collective about models of time in early computer-aided composition
2017,van Dijck,Foreword
2004,Varese,The liberation of sound
2007,Vesna,Seeing the world in a grain of sand: The database aesthetics of everything
2007,Vesna,Introduction
1945,von Neumann,First draft of a report on the edvac
1946,von Neumann,Preliminary discussion of the logical design of an electronic computing instrument
2007,Weinbren,Ocean, database, recut
2008,Wessel,How many types of forgetting? Comments on connerton (2008)
1981,Wolff,The social production of art
1992,Xenakis,Formalized music: Thought and mathematics in music
2006,Zizek,The parallax view
2011,Flusser,Into the universe of technical images
2011,Poster,Introduction
2004,Hansen,New philosophy for new media
2011,Galloway,What is new media?: Ten years after the language of new
